MiroImageNumber,miro-image-number,Miro image number
WellcomeLibraryVideodiskNumber,wellcome-library-videodisk-number,Wellcome library videodisk number
SierraSystemNumber,sierra-system-number,Sierra system number
CALMRefNo,calm-ref-no,CALM ref no
CalmAltRefNo,calm-altref-no,CALM alter no
LCGMGPC,lc-gmgpc,Library of Congress Thesaurus for Graphic Materials
LCSH,lcsh,Library of Congress Subject Headings
LCNames,lc-names,Library of Congress Name authority records
MESHId,mesh,MESH identifier
CALMRecordId,calm-record-id,CALM record identifier
PerserviceGUID,preservica-guid,Perservica GUID
CALMAuthorityCode,calm-authority-code,CALM authority code
ISBN,isbn,ISBN
ISSN,issn,ISSN