Done,Route,What it is,,,,
,/,Homepage,,,,
,/events,,,,,
,/articles,,,,,
,/search,Search form,,,,
,/exhibitions,All exhibitions,,,,
,/exhibitions/current,All current exhibitions,,,,
,/exhibitions/coming-up,All upcoming exhibitions,,,,
,/exhibtions/a-z,A way of navigating all exhibitions,,,,
,/exhibtions/a-z/:letter,A way of navigating all exhibitions/ Specific letter,,,,
,/exhibitions/:exhibition,The exhibition page,,,,
,/exhibitions/:exhibition/articles,List of an exhibitions articles,,,,
,/exhibitions/:exhibition/events,A list of an exhibitions events,,,,
,/exhibitions/:exhibition/exhibts,A list of an exhibitions exhibits,,,,
,/exhibitions/:exhibition/products,A list of an exhibitions products,,,,
,/events/a-z,A way to navigate all events,,,,
,/events/a-z:letter,A way to navigate all events. Specific letter,,,,
,/events/current,All current events,,,,
,/events/coming-up,All events coming up,,,,
,/events/:event,An event page,,,,
,/events/audience,Navigate audiences,,,,
,/events/audience/:audience,All events by a specific audience ,,,,
,/events/audience/:audience/current,All current events for a specific audience,,,,
,/events/event-format,Navigate event formats,,,,
,/events/event-format/:event-format,All events of a specific format,,,,
,/events/event-format/:event-format/current,All current events of a specific format,,,,
,/events/:event/articles,All articles for an event,,,,
,/events/:event/articles/article-type,Event articles by format,,,,
,/events/:event/articles/article-type/:article-type,All event articles by a specific format. Like all podcasts or all audio tours?,,,,
,/articles/:article,An article,,,,
,/articles/article-type,Navigate article types,,,,
,/articles/article-types/:article-type,A specific article type,,,,
,/people,A person,,,,
,/people/contributions,All contributions,,,,
,/people/contribution/contribution-types,Navigate their types of contributions,,,,
,/people/contribution/contribution-types/:contribition-type,All specific contribution types,,,,
,/people/contributions/works,work contributions,,,,
,/people/contributions/articles,article contributions,,,,
,/people/works/subject,People as a subject of work,,,,
,/people/works/contribitions,?,,,,
,/people/articles/subject,?,,,,
,/people/works/contributions,what is more primary the work versus article or contribution versus subject?,,,,
,/season,List of seasons,,,,
,/season/a-z,Navigate seasons,,,,
,/season/a-z/:letter,A specific letter,,,,
,/season/:season,A specific season,,,,
,/season/:season,,,,,
,/season/:season/articles,All articles,,,,
,/season/:season/events,All events,,,,
,/season/:season/events/current,All current events in a season,,,,
,/season/:season/exhibition,All exhibitions in a season,,,,
,/season/:season/exhibition/current,All current exhibitions in a season,,,,
,/season/:season/article-series,All article series. Would this just be a way of grouping the articles listing?,,,,
,/season/:season/event-series,All event series. Would this just be a way of grouping the events listing?,,,,
,/season/:season/exhibtion-series,All exhibition series. Would this just be a way of grouping the exhibition listing?,,,,
,/articles-series,All article series,,,,
,/articles-series/:article-series,A specific article series,,,,
,/event-series,All event series,,,,
,/event-series/:event-series,A specific event series,,,,
,/exhibtion-series,All exhibition series,,,,
,/exhibtion-series/:exhibition-series,A specific exhibition series. Like a touring exhibition.,,,,
,/venues,Maybe venue? All venues,,,,
,/venues/access,Navgate access types for venues,,,,
,/venues/access/:access,All venues with specific access,,,,
,/venues/events,List of events at venues,,,,
,/venues/events/current,Current events at a venue,,,,
,/venues/exhibitions,All exhibitions at a venue,,,,
,/venues/exhibitions/current,All current exhibitions at a venue,,,,
,/works,all works,,,,
,/works/genres,navigate work genres,,,,
,/works/genres/a-z,work genres a-z,,,,
,/works/genres/a-z/:letter,,,,,
,/work/genre/:genre,works of a specific genre,,,,
,/works/work-type,navigate work types,,,,
,/works/work-type/:work-type,Works of a specific type,,,,
,/collection,Collections,,,,
,/collection/a-z,Alphabetical collections,,,,
,/collection/a-z/:letter,,,,,
,/collection/:collection,A collection,,,,
,/collection/works,Works as part of collection,,,,
,/work/:work,A work,,,,
,/work/:work/items,List of items associated with a work,,,,
,/item/:item,Can we have an item without a work? If not then are items part of works?,,,,
,/item/:item/locations,,,,,
,/work/:work/holdings,All holdings for a work?,,,,
,/subjects,,,,,
,/subjects/a-z,,,,,
,/subjects/a-z/:letter,,,,,
,/subjects/:subject,,,,,
,/subjects/:subject/works,list of works for a given subject,,,,
,/subjects/:subject/articles,list of articles for a given subject,,,,
,,,,,,